Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/07/15,Grêmio,Vasco,A,13
2,11/07/15,Santos,Figueirense,A,13
3,11/07/15,Ponte Preta,Atlético-MG,A,13
4,12/07/15,Cruzeiro,Goiás,A,13
5,12/07/15,Joinville,Internacional,A,13
6,12/07/15,São Paulo,Coritiba,A,13
7,12/07/15,Atlético-PR,Fluminense,A,13
8,12/07/15,Flamengo,Corinthians,A,13
9,12/07/15,Sport,Palmeiras,A,13
10,12/07/15,Avaí,Chapecoense,A,13
11,14/07/15,Mogi Mirim,Macaé,B,13
12,17/07/15,Luverdense,Bragantino,B,13
13,18/07/15,Santa Cruz,Atlético-GO,B,13
14,18/07/15,Paysandu,Sampaio Corrêa,B,13
