Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,03/11/15,Bragantino,Mogi Mirim,B,34
2,06/11/15,Ceará SC,ABC,B,34
3,07/11/15,Internacional,Ponte Preta,A,34
4,07/11/15,Corinthians,Coritiba,A,34
5,07/11/15,Atlético-PR,Avaí,A,34
6,07/11/15,Fluminense,Chapecoense,A,34
7,07/11/15,CRB,Atlético-GO,B,34
8,07/11/15,Sampaio Corrêa,Oeste,B,34
9,08/11/15,Figueirense,Atlético-MG,A,34
10,08/11/15,Cruzeiro,São Paulo,A,34
11,08/11/15,Palmeiras,Vasco da Gama,A,34
12,08/11/15,Flamengo,Goiás,A,34
13,08/11/15,Joinville,Santos,A,34
14,08/11/15,Sport Recife,Grêmio,A,34
