Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/08/15,EC Vitória,Santa Cruz,B,19
2,15/08/15,Vasco da Gama,Coritiba,A,19
3,15/08/15,Atlético-PR,Santos,A,19
4,15/08/15,São Paulo,Goiás,A,19
5,15/08/15,Náutico,Bragantino,B,19
6,15/08/15,Macaé,Ceará SC,B,19
7,15/08/15,ABC,Boa,B,19
8,16/08/15,Palmeiras,Flamengo,A,19
9,16/08/15,Fluminense,Figueirense,A,19
10,16/08/15,Grêmio,Joinville,A,19
11,16/08/15,Avaí,Corinthians,A,19
12,16/08/15,Cruzeiro,Internacional,A,19
13,16/08/15,Sport Recife,Ponte Preta,A,19
14,16/08/15,Chapecoense,Atlético-MG,A,19
